path,area,preview
app.js,runtime-ui,"Static dashboard data, localStorage state, DOM rendering, JSON snapshot export."
index.html,runtime-ui,"Static HTML application shell and local script/style inclusion."
styles.css,runtime-ui,"Static CSS presentation layer for the local-first dashboard."
scripts/generate_profile_pdfs.py,local-tooling,"Local PDF generation script for sanitized portfolio/profile evidence."
AGENTS.md,repo-governance,"Repository security operating rules and scope restrictions."
README.md,public-docs,"Public repository summary, execution notes, Codex Security scan claim, local report paths."
VERSION.md,public-docs,"Version history and scan status wording."
docs/threat-model/threat_model.md,security-docs,"Reusable repository threat model and severity calibration."
docs/evidence/implementation_evidence.md,security-docs,"Implementation evidence, inventory, validation and scan statements."
docs/validation/local_validation.md,security-docs,"Local validation commands, results, and scan summary."
docs/deployment/deploy_manifest.md,deployment-docs,"Static package manifest and release evidence."
docs/deployment/local_deploy.md,deployment-docs,"Local static deployment instructions and limits."
docs/deployment/public_release_gate.md,deployment-docs,"Public release gate, disclaimer and deployment controls."
docs/deployment/private_github_repo_plan.md,deployment-docs,"Private GitHub publication plan and public wording constraints."
docs/deployment/github_private_seed_manifest.md,deployment-docs,"Private GitHub seed package manifest and exclusions."
docs/openai/developer_community_submission_steps.md,public-docs,"Manual OpenAI Developer Community submission steps and exclusions."
docs/openai/openai_deploy_review_request.md,public-docs,"Review request text and non-affiliation wording."
docs/openai/openai_developer_forum_post.md,public-docs,"Draft community post and sanitized public summary."
